tesla_date,replies_count,positive,negative,article_positive,article_negative,DJ_Price,class
2012-05-08,9,9,4,"","",-0.007959570625176516,6
2015-11-10,"","","","","",-0.007964366076503086,5
2015-06-04,"","","","","",-0.006262471639536408,3
2019-11-19,1203,1201,671,"","",-0.0021148396071621416,3
2019-11-19,3540,3132,1112,"","",-0.0021148396071621416,3
2019-11-19,1260,1384,880,"","",-0.0021148396071621416,3
2010-07-07,"","","","","",0.03425390736686401,1
2019-02-26,2934,1645,980,"","",-0.0026092601036033923,1
2010-11-19,"","","","","",0.01753414845324177,0
2010-11-20,"","","","","",0.0,0
2010-11-21,"","","","","",0.0,0
2012-08-23,"","","","","",-0.010671791612754623,5
2018-05-22,12950,5902,4793,"","",-0.001955161043528059,5
2018-05-22,4446,2588,2750,"","",-0.001955161043528059,5
2012-03-27,"","","","","",0.008798723079276143,2
2012-10-11,36,22,27,"","",-0.01092071803112222,5
2016-11-11,"","","","","",0.01314399198388041,5
2016-11-12,"","","","","",0.004634260604885191,5
2016-11-13,"","","",0,1,0.004634260604885191,5
2013-11-13,"","","","","",0.003073545296082036,5
2019-09-23,1402,1853,1311,"","",-0.005615395325387516,6
2011-06-13,"","","","","",-0.014120570432093048,2
2016-03-04,"","","","","",0.006545839079885777,2
2016-03-05,689,860,554,2,0,0.0076098683239893775,2
2016-03-05,254,211,179,2,0,0.0076098683239893775,2
2016-03-06,168,280,215,1,0,0.0076098683239893775,2
2017-02-01,"","","",1,1,-0.0011158802997938903,4
2012-11-19,35,37,27,"","",0.020223579174396038,2
2010-09-01,"","","","","",0.026288103711543,1
2012-01-04,"","","","","",0.01613832083889255,5
2011-02-11,"","","","","",0.002745142344319328,4
2011-02-12,"","","","","",0.0033047826626213827,4
2011-02-13,"","","","","",0.0033047826626213827,4
2019-06-13,1064,1237,795,"","",0.002552533880402027,2
2012-08-21,"","","","","",-0.005348568435471638,2
2019-10-08,572,623,450,"","",-0.01276457634584459,2
2015-10-07,"","","",0,2,0.00824307680054884,5
2014-02-07,87,87,43,"","",0.02267895970288499,1
2014-02-08,"","","","","",0.010949672852454817,1
2014-02-09,150,152,111,"","",0.010949672852454817,1
2014-02-09,112,116,96,"","",0.010949672852454817,1
2019-05-15,"","","","","",0.010399855408593449,4
2013-09-09,"","","","","",0.008136392415053267,2
2015-04-22,"","","","","",0.0,2
2015-07-09,"","","","","",-0.011846979520628449,3
2012-12-05,47,47,21,"","",0.005247391386047752,3
2012-01-19,"","","","","",0.01196743437474142,5
2018-11-09,21728,20159,21167,"","",-0.005749480515890124,6
2018-11-10,2375,6308,4046,"","",-0.029137882922637783,6
2018-11-10,2529,4298,2869,"","",-0.029137882922637783,6
2018-11-11,673,1203,712,"","",-0.029137882922637783,6
2019-08-08,"","","","","",0.021847211910283524,3
2018-10-31,581,1069,567,"","",0.025885127521738674,2
2019-05-13,977,666,448,"","",-0.017029002674166717,3
2018-11-29,1271,1192,678,"","",0.020376243844191323,2
2018-11-29,1302,2208,1420,"","",0.020376243844191323,2
2018-11-29,3234,2739,1719,"","",0.020376243844191323,2
2018-04-04,1024,1161,670,"","",0.023882303152129077,0
2019-01-24,"","","","","",0.0,2
2016-10-05,302,397,199,0,2,0.0,6
2013-01-28,"","","","","",0.004093906550886203,2
2011-12-05,"","","","","",0.006276629333646985,2
2010-09-14,"","","","","",0.006491368590030296,1
2015-08-12,"","","","","",-0.010860778261969082,2
2011-05-03,"","","","","",0.0,5
2016-03-15,"","","","","",0.002559296091420944,2
2018-07-18,1052,993,535,"","",0.00660580289227889,5
2013-08-05,"","","","","",0.0,2
2013-09-19,125,143,100,"","",0.006664477531278953,1
2013-09-19,151,159,97,"","",0.006664477531278953,1
2013-11-29,"","","","","","",5
2013-11-30,42,39,41,"","",-0.005985077084911402,5
2013-11-30,53,69,43,"","",-0.005985077084911402,5
2013-12-01,"","","","","",-0.005985077084911402,5
2019-11-07,627,589,402,"","",0.006256123768348935,2
2019-12-10,"","","","","",-0.003763529031632235,2
2019-11-15,1221,1104,722,"","",0.008923501405814905,4
2019-11-16,1895,1750,1312,"","",0.00692015624136322,4
2019-11-17,"","","","","",0.00692015624136322,4
2016-04-08,210,142,157,2,0,-0.006237158215423845,5
2016-04-08,208,186,123,2,0,-0.006237158215423845,5
2016-04-09,1300,1112,1054,"","",0.0,5
2016-04-10,"","","","","",0.0,5
2012-10-10,"","","","","",-0.01751544284441819,4
2014-01-23,183,243,154,"","",-0.013588570675483146,5
2013-06-03,102,85,84,"","",-0.004450363872982921,5
2013-06-03,168,193,120,"","",-0.004450363872982921,5
2014-05-19,"","","","","",0.003923986477660447,2
2018-11-01,865,2965,1947,"","",0.014871550006263416,2
2016-06-21,"","","",3,3,0.005235497166312623,7
2018-10-10,1077,1058,772,"","",-0.032885374910761885,5
2018-10-10,910,1060,698,"","",-0.032885374910761885,5
2013-11-06,"","","","","",0.007399304614306967,6
2017-11-15,2048,2458,1286,"","",-0.005007657291387349,2
2013-10-30,67,144,85,"","",0.0029892869929360718,5
2018-03-20,608,381,274,"","",-0.0066852252731910205,3
2010-09-09,"","","","","",0.007423714513441219,5
2016-01-21,"","","","","",-0.006677559672677242,3
2018-06-06,"","","","","",0.013145443925003823,1
2012-03-06,"","","","","",-0.016813110834119207,4
2017-07-21,"","","","","",-0.002840313243086844,2
2017-07-22,618,468,306,"","",-0.0036380046930966107,2
2017-07-23,"","","","","",-0.0036380046930966107,2
2013-12-03,161,109,141,"","",-0.01072286392737882,2
2013-12-03,73,59,64,"","",-0.01072286392737882,2
2013-12-03,105,88,72,"","",-0.01072286392737882,2
2013-12-03,87,65,80,"","",-0.01072286392737882,2
2013-04-04,"","","","","",-0.003812534226621228,3
2013-06-27,"","","","","",0.017230884784723035,3
2019-11-11,1051,923,667,"","",0.0,2
2011-06-14,"","","","","",0.010948234379642019,5
2018-12-07,1308,1396,848,"","",-0.01408678448381157,5
2018-12-08,"","","","","",-0.019886998688553988,5
2018-12-09,1692,4241,2978,"","",-0.019886998688553988,5
2018-12-09,1123,1752,1154,"","",-0.019886998688553988,5
2017-06-28,"","","","","",0.00202790797634378,5
2012-03-12,10,13,11,"","",0.003957808292923205,2
2014-08-26,"","","","","",0.0055778114630150675,4
2014-09-02,"","","","","","",2
2015-10-23,173,183,120,"","",0.027112600523087813,3
2015-10-23,177,186,124,"","",0.027112600523087813,3
2015-10-24,"","","","","",0.00558863309519288,3
2015-10-25,87,246,205,"","",0.00558863309519288,3
2012-09-26,"","","","","",-0.010797272925912317,2
2012-07-09,"","","","","",-0.011878779999251445,2
2015-12-04,"","","","","",0.005978081139766641,4
2015-12-05,"","","",0,1,0.014175748944379325,4
2015-12-06,"","","","","",0.014175748944379325,4
2014-01-08,"","","","","",0.002052508554199422,4
2014-09-25,"","","","","",-0.006498339631283637,5
2014-11-25,"","","","","",0.0,3
2019-11-13,727,784,722,"","",0.00296011891239884,5
2017-06-30,683,815,503,"","",-0.0064107394429088515,5
2017-06-30,380,292,179,"","",-0.0064107394429088515,5
2017-06-30,514,255,190,"","",-0.0064107394429088515,5
2017-07-01,"","","","","",0.006120772522129169,5
2017-07-02,471,386,306,"","",0.006120772522129169,5
2017-07-02,370,994,552,"","",0.006120772522129169,5
2018-01-23,"","","","","",0.007127298805460187,5
2010-06-30,"","","","","",-0.035685694264473274,7
2010-09-20,"","","","","",0.014918556886030518,3
2015-09-22,"","","","","",-0.004609863685655214,3
2015-09-28,"","","","","",-0.012538092099839509,5
2018-03-22,508,1367,883,"","",-0.03096648580427884,5
2018-03-22,591,617,405,"","",-0.03096648580427884,5
2017-07-06,"","","","","",-0.00803947246579051,5
2018-04-25,15156,10415,5388,"","",-0.02018350679610509,3
2011-03-10,"","","","","",-0.01855268473991357,5
2011-11-09,"","","","","",-0.02277621473307254,2
2016-04-26,"","","","","",0.0,4
2013-03-25,150,141,111,"","",0.0018208773988146758,2
2013-03-25,46,54,22,"","",0.0018208773988146758,2
2012-06-22,28,34,17,"","",-0.01421803943597271,2
2012-06-22,41,31,42,"","",-0.01421803943597271,2
2012-06-23,"","","","","",-0.005738464205191799,2
2012-06-24,"","","","","",-0.005738464205191799,2
2012-11-12,16,10,12,"","",0.0,2
2014-11-04,98,94,69,"","",0.0,5
2019-03-06,9997,6128,4157,"","",-0.006024582887317192,3
2012-09-13,20,10,15,"","",0.016382409380779995,1
2017-07-20,6426,8862,5948,"","",0.001971755943067098,3
2019-03-08,1609,2007,1343,"","",-0.007611837200039298,1
2019-03-09,"","","","","",0.011973623692475007,1
2019-03-10,"","","","","",0.011973623692475007,1
2019-07-15,"","","","","",0.00809410641017734,2
2015-07-10,"","","",1,0,0.013121751245466157,3
2015-07-11,"","","","","",0.023720615043909703,3
2015-07-12,"","","","","",0.023720615043909703,3
2012-05-24,28,31,15,"","",0.0022581629920612775,5
2012-05-24,24,19,12,"","",0.0022581629920612775,5
2012-05-24,35,17,34,"","",0.0022581629920612775,5
2012-05-24,162,147,104,"","",0.0022581629920612775,5
2018-08-14,"","","","","",-0.001076689985695801,6
2017-02-27,2244,1810,1374,1,2,0.004121514416312203,3
2017-02-27,965,861,484,1,2,0.004121514416312203,3
2011-11-08,"","","","","",0.015618780872543276,5
2019-12-04,684,551,416,"","",0.00537411581296631,5
2015-07-24,"","","","","",-0.015977009419508626,6
2015-07-25,"","","","","",-0.01638148472323777,6
2015-07-26,"","","","","",-0.01638148472323777,6
2016-04-18,160,161,95,0,1,0.004363001174754737,5
2013-11-12,218,228,121,"","",0.0,5
2019-08-02,"","","","","",-0.01468942243582701,5
2019-08-03,"","","","","",-0.03056769234099265,5
2019-08-04,585,642,516,"","",-0.03056769234099265,5
2019-08-04,1417,1939,1003,"","",-0.03056769234099265,5
2019-08-04,1194,886,432,"","",-0.03056769234099265,5
2019-08-04,1675,1960,1015,"","",-0.03056769234099265,5
2019-08-04,422,539,404,"","",-0.03056769234099265,5
2019-08-04,3168,2994,2107,"","",-0.03056769234099265,5
2017-06-09,89,91,52,"","",0.004828157647115482,5
2017-06-09,1455,3353,2388,"","",0.004828157647115482,5
2017-06-10,"","","",1,1,0.0012593254546372093,5
2017-06-11,"","","",1,0,0.0012593254546372093,5
2017-08-07,922,556,445,"","",0.0027213815321125677,2
2011-11-22,"","","","","",-0.02558847049291878,4
2017-09-18,"","","","","",0.003546135084030903,5
2011-07-20,"","","","","",0.015007220126946507,2
2010-10-29,"","","","","",0.0,2
2010-10-30,"","","","","",0.0,2
2010-10-31,"","","","","",0.0,2
2010-11-01,"","","","","",0.0,5
2012-11-14,"","","","","",-0.018562350646559398,5
2011-07-11,"","","","","",-0.016680475431021576,4
2020-01-07,6906,4489,3090,"","",0.004151681421369728,1
2020-01-07,973,1160,687,"","",0.004151681421369728,1
2015-06-10,"","","","","",0.013139631852419092,4
2017-12-21,5710,4255,3996,"","",-0.0022465810213679184,5
2017-12-21,761,971,724,"","",-0.0022465810213679184,5
2017-11-20,"","","","","",0.0,2
2012-05-31,84,64,84,"","",-0.014752289355819105,6
2012-05-31,72,52,61,"","",-0.014752289355819105,6
2012-05-31,23,22,16,"","",-0.014752289355819105,6
2012-05-31,11,17,10,"","",-0.014752289355819105,6
2010-08-13,"","","","","",-0.00563907117055966,2
2010-08-14,"","","","","",-0.0017751673019481989,2
2010-08-15,"","","","","",-0.0017751673019481989,2
2011-11-07,"","","","","",0.0020741211885519605,3
2011-01-07,"","","","","",-0.0035990590538396965,2
2011-01-08,"","","","","",-0.005079154103268731,2
2011-01-09,"","","","","",-0.005079154103268731,2
2012-12-06,"","","","","",0.009659469061787433,2
2014-06-24,"","","","","",-0.007574964778862892,4
2014-10-15,"","","","","",-0.011037939941937195,2
2016-10-14,"","","","","",0.002767561941083356,5
2016-10-15,"","","","","",-0.005003436733322925,5
2016-10-16,"","","","","",-0.005003436733322925,5
2012-07-30,"","","","","",0.014283566813888272,6
2010-11-30,"","","","","",-0.007013011728882372,2
2018-04-18,"","","","","",0.0026854313450358296,2
2015-10-21,45,49,26,"","",-0.003474558430432366,4
2016-03-16,"","","","","",0.006308208532530416,2
2016-09-27,408,420,254,5,2,0.0,5
2016-09-27,150,128,103,5,2,0.0,5
2016-09-27,400,319,290,5,2,0.0,5
2016-09-27,186,148,104,5,2,0.0,5
2016-09-27,254,205,194,5,2,0.0,5
2012-04-16,"","","","","",-0.004989145253273287,5
2016-12-08,136,124,59,"","",0.01937535088412904,3
2013-04-02,41,44,30,"","",0.005725520274241925,6
2013-04-02,43,42,30,"","",0.005725520274241925,6
2013-04-02,38,39,30,"","",0.005725520274241925,6
2017-07-24,"","","","","",-0.0036380046930966107,2
2012-09-05,"","","","","",-0.003411962171392955,2
2011-03-28,"","","","","",0.0022324023793355704,1
2019-12-11,"","","","","",0.0,2
2018-10-23,1136,1838,1170,"","",-0.011796221506996335,1
2018-10-23,752,869,544,"","",-0.011796221506996335,1
2018-10-23,2947,2529,1517,"","",-0.011796221506996335,1
2016-10-31,"","","",4,1,-0.0028234437833996404,6
2016-10-07,195,214,135,"","",-0.00218428721389593,3
2016-10-07,329,311,216,"","",-0.00218428721389593,3
2016-10-08,"","","",0,1,0.00184142166421005,3
2016-10-09,203,275,183,"","",0.00184142166421005,3
2016-10-09,663,684,358,"","",0.00184142166421005,3
2011-09-20,"","","","","",-0.008530606508504127,4
2013-10-31,"","","","","",-0.008608664664891083,2
2013-09-27,85,105,85,"","",-0.0010592669039318826,2
2013-09-28,"","","","","",-0.01225923838779415,2
2013-09-29,137,149,92,2,0,-0.01225923838779415,2
2013-09-29,118,166,87,2,0,-0.01225923838779415,2
2013-09-29,203,174,176,2,0,-0.01225923838779415,2
2013-09-29,143,103,131,2,0,-0.01225923838779415,2
2013-09-29,42,36,34,2,0,-0.01225923838779415,2
2013-12-11,"","","","","",-0.011269875814042296,2
2016-10-27,155,178,103,1,1,0.003638954440894555,6
2014-12-05,"","","","","",0.002723030601106006,6
2014-12-06,"","","","","",-0.0028246757001305425,6
2014-12-07,"","","","","",-0.0028246757001305425,6
2013-12-16,"","","","","",0.008822123357899461,2
2016-12-29,"","","","","",-0.0072394811561686204,5
2012-05-01,"","","","","",0.0038561799537848995,2
2012-07-13,"","","","","",0.013836697293915038,1
2012-07-14,54,59,36,"","",0.012206360918022602,1
2012-07-15,67,66,49,"","",0.012206360918022602,1
2012-07-15,17,12,10,"","",0.012206360918022602,1
2011-07-29,"","","","","",-0.012882710361649926,2
2011-07-30,"","","","","",-0.00873167503184566,2
2011-07-31,"","","","","",-0.00873167503184566,2
2012-09-24,23,24,9,"","",-0.0028182419255286034,6
2018-04-30,1832,1398,699,"","",-0.007353101649210442,2
2014-05-12,"","","","","",0.00871477408566914,2
2016-07-20,302,455,237,"","",0.004967279059896679,5
2016-07-20,427,965,597,"","",0.004967279059896679,5
2013-06-12,69,207,112,"","",-0.015504137896854465,2
2015-01-08,"","","","","",0.03068181958696193,5
2013-01-02,"","","","","","",4
2012-10-03,56,39,53,"","",-0.0015308171793439829,5
2018-03-07,881,825,583,"","",-0.0065902415608295566,2
2018-03-07,2952,2417,1511,"","",-0.0065902415608295566,2
2018-10-02,"","","","","",0.006601161960764732,6
2015-12-02,111,96,73,"","",0.0,5
2019-02-12,1335,1959,1147,"","",0.011253682965254962,5
2011-07-21,"","","","","",0.011183570485332254,2
2017-05-19,"","","","","",0.01094233618407747,5
2017-05-20,"","","","","",0.00949599618552229,5
2017-05-21,"","","",0,1,0.00949599618552229,5
2013-10-10,"","","","","",0.02354008662073089,2
2016-07-27,342,319,177,1,0,-0.001362313665171768,3
2019-11-18,"","","","","",0.00692015624136322,2
2014-06-12,313,296,233,"","",-0.012333632049621793,3
2014-06-12,1136,1135,747,"","",-0.012333632049621793,3
2015-01-02,"","","","","","",6
2015-01-03,"","","","","",-0.018033925481939883,6
2015-01-04,"","","","","",-0.018033925481939883,6
2012-01-23,15,26,10,"","",0.0067325236357762734,2
2014-05-07,"","","","","",0.0,7
2012-07-12,16,20,17,"","",-0.006304453915124924,1
2014-06-25,"","","","","",-0.003962851153765198,2
2020-01-29,4210,4230,3028,"","",0.004902026745269948,0
2020-01-29,1363,1473,831,"","",0.004902026745269948,0
2014-06-04,84,92,46,"","",0.0,2
2015-09-16,"","","","","",0.02181397184819384,2
2011-12-02,"","","","","",-0.0022239392430791617,2
2011-12-03,2,1,3,"","",0.006276629333646985,2
2011-12-03,2,7,1,"","",0.006276629333646985,2
2011-12-04,9,9,3,"","",0.006276629333646985,2
2016-11-07,"","","",1,0,0.018476324213734904,3
2018-09-07,2596,5614,4365,"","",-0.002174582307692192,1
2018-09-08,2223,2256,1347,"","",-0.0036202515526169267,1
2018-09-08,967,856,528,"","",-0.0036202515526169267,1
2018-09-09,"","","","","",-0.0036202515526169267,1
2017-12-18,"","","","","",0.008398711014496161,5
2014-06-09,"","","","","",0.006143776264524647,5
2010-09-24,"","","","","",0.011340458943831889,2
2010-09-25,"","","","","",0.013845179657950053,2
2010-09-26,"","","","","",0.013845179657950053,2
2017-03-21,"","","","","",-0.011869218134432955,5
2013-11-11,"","","","","",0.012286122463372658,5
2010-12-31,"","","","","",0.0,3
2011-01-01,"","","","","",0.008766274381501333,3
2011-01-02,"","","","","",0.008766274381501333,3
2017-09-21,"","","","","",0.0,6
2016-06-24,"","","","","",-0.024846259663772095,2
2016-06-25,"","","","","",-0.044932702484308126,2
2016-06-26,"","","","","",-0.044932702484308126,2
2019-01-16,"","","","","",0.012254304630569165,3
2016-06-30,297,497,335,3,2,0.027152278460532843,2
2019-01-07,7112,4097,2453,"","",0.027797856016605758,2
2019-01-07,993,2191,1420,"","",0.027797856016605758,2
2019-01-07,660,1391,863,"","",0.027797856016605758,2
2016-09-15,"","","",5,0,0.00769583564235059,2
2011-09-22,"","","","","",-0.05914408238180111,2
2019-11-04,1199,1008,1020,"","",0.011758492184391234,3
2016-09-19,"","","","","",-0.00532688653372519,5
2010-09-13,"","","","","",0.012397503227857182,2
2011-07-26,"","","","","",-0.014071282782475984,5
2017-09-28,"","","","","",0.002251116812128917,3
2011-08-11,"","","","","",-0.007542788536471321,1
2018-11-19,794,1547,946,"","",-0.00891003253383625,5
2018-11-19,257,555,409,"","",-0.00891003253383625,5
2018-11-19,575,1491,1094,"","",-0.00891003253383625,5
2013-04-11,33,31,29,"","",0.013063019084133817,2
2013-04-11,118,122,99,"","",0.013063019084133817,2
2013-04-11,67,66,58,"","",0.013063019084133817,2
2017-05-31,3098,5184,3201,1,1,-0.0017504863673751363,3
2017-05-31,172,153,124,1,1,-0.0017504863673751363,3
